Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
49,2018-10-29 04:05:00+00:00,2018-11-05 04:00:00+00:00,0,0,0,0.0
50,2018-11-05 04:05:00+00:00,2018-11-12 04:00:00+00:00,0,0,0,0.0
51,2018-11-12 04:05:00+00:00,2018-11-19 04:00:00+00:00,1,0,1,-0.015306020000000087
52,2018-11-19 04:05:00+00:00,2018-11-26 04:00:00+00:00,0,0,0,0.0
53,2018-11-26 04:05:00+00:00,2018-12-03 04:00:00+00:00,0,0,0,0.0
54,2018-12-03 04:05:00+00:00,2018-12-10 04:00:00+00:00,0,0,0,0.0
55,2018-12-10 04:05:00+00:00,2018-12-17 04:00:00+00:00,0,0,0,0.0
56,2018-12-17 04:05:00+00:00,2018-12-24 04:00:00+00:00,0,0,0,0.0
57,2018-12-24 04:05:00+00:00,2018-12-31 04:00:00+00:00,0,0,0,0.0
58,2018-12-31 04:05:00+00:00,2019-01-07 04:00:00+00:00,0,0,0,0.0
59,2019-01-07 04:05:00+00:00,2019-01-14 04:00:00+00:00,0,0,0,0.0
60,2019-01-14 04:05:00+00:00,2019-01-21 04:00:00+00:00,0,0,0,0.0
61,2019-01-21 04:05:00+00:00,2019-01-28 04:00:00+00:00,0,0,0,0.0
62,2019-01-28 04:05:00+00:00,2019-02-04 04:00:00+00:00,0,0,0,0.0
63,2019-02-04 04:05:00+00:00,2019-02-11 04:00:00+00:00,0,0,0,0.0
64,2019-02-11 04:05:00+00:00,2019-02-18 04:00:00+00:00,0,0,0,0.0
65,2019-02-18 04:05:00+00:00,2019-02-25 04:00:00+00:00,0,0,0,0.0
66,2019-02-25 04:05:00+00:00,2019-03-04 04:00:00+00:00,0,0,0,0.0
67,2019-03-04 04:05:00+00:00,2019-03-11 04:00:00+00:00,1,0,1,-0.009774820000000017
68,2019-03-11 04:05:00+00:00,2019-03-18 04:00:00+00:00,0,0,0,0.0
69,2019-03-18 04:05:00+00:00,2019-03-25 04:00:00+00:00,0,0,0,0.0
70,2019-03-25 04:05:00+00:00,2019-04-01 04:00:00+00:00,0,0,0,0.0
71,2019-04-01 04:05:00+00:00,2019-04-08 04:00:00+00:00,0,0,0,0.0
72,2019-04-08 04:05:00+00:00,2019-04-15 04:00:00+00:00,0,0,0,0.0
73,2019-04-15 04:05:00+00:00,2019-04-22 04:00:00+00:00,0,0,0,0.0
74,2019-04-22 04:05:00+00:00,2019-04-29 04:00:00+00:00,0,0,0,0.0
75,2019-04-29 04:05:00+00:00,2019-05-06 04:00:00+00:00,0,0,0,0.0
76,2019-05-06 04:05:00+00:00,2019-05-13 04:00:00+00:00,0,0,0,0.0
77,2019-05-13 04:05:00+00:00,2019-05-20 04:00:00+00:00,0,0,0,0.0
78,2019-05-20 04:05:00+00:00,2019-05-27 04:00:00+00:00,0,0,0,0.0
79,2019-05-27 04:05:00+00:00,2019-06-03 04:00:00+00:00,0,0,0,0.0
80,2019-06-03 04:05:00+00:00,2019-06-10 04:00:00+00:00,0,0,0,0.0
81,2019-06-10 04:05:00+00:00,2019-06-17 04:00:00+00:00,0,0,0,0.0
82,2019-06-17 04:05:00+00:00,2019-06-24 04:00:00+00:00,0,0,0,0.0
83,2019-06-24 04:05:00+00:00,2019-07-01 04:00:00+00:00,0,0,0,0.0
84,2019-07-01 04:05:00+00:00,2019-07-08 04:00:00+00:00,0,0,0,0.0
85,2019-07-08 04:05:00+00:00,2019-07-15 04:00:00+00:00,0,0,0,0.0
86,2019-07-15 04:05:00+00:00,2019-07-22 04:00:00+00:00,0,0,0,0.0
87,2019-07-22 04:05:00+00:00,2019-07-29 04:00:00+00:00,0,0,0,0.0
88,2019-07-29 04:05:00+00:00,2019-08-05 04:00:00+00:00,1,0,1,-0.015022499999999966
89,2019-08-05 04:05:00+00:00,2019-08-12 04:00:00+00:00,0,0,0,0.0
90,2019-08-12 04:05:00+00:00,2019-08-19 04:00:00+00:00,0,0,0,0.0
91,2019-08-19 04:05:00+00:00,2019-08-26 04:00:00+00:00,0,0,0,0.0
92,2019-08-26 04:05:00+00:00,2019-09-02 04:00:00+00:00,0,0,0,0.0
93,2019-09-02 04:05:00+00:00,2019-09-09 04:00:00+00:00,1,0,1,-0.015284679999999995
94,2019-09-09 04:05:00+00:00,2019-09-16 04:00:00+00:00,0,0,0,0.0
95,2019-09-16 04:05:00+00:00,2019-09-23 04:00:00+00:00,0,0,0,0.0
96,2019-09-23 04:05:00+00:00,2019-09-30 04:00:00+00:00,0,0,0,0.0
97,2019-09-30 04:05:00+00:00,2019-10-07 04:00:00+00:00,0,0,0,0.0
98,2019-10-07 04:05:00+00:00,2019-10-14 04:00:00+00:00,0,0,0,0.0
99,2019-10-14 04:05:00+00:00,2019-10-21 04:00:00+00:00,0,0,0,0.0
100,2019-10-21 04:05:00+00:00,2019-10-28 04:00:00+00:00,0,0,0,0.0
101,2019-10-28 04:05:00+00:00,2019-11-04 04:00:00+00:00,0,0,0,0.0
