Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
145,2020-08-31 12:15:00+00:00,2020-09-07 12:00:00+00:00,1,0,1,-0.01912539999999996
146,2020-09-07 12:15:00+00:00,2020-09-14 12:00:00+00:00,2,1,1,0.025893859999999824
147,2020-09-14 12:15:00+00:00,2020-09-21 12:00:00+00:00,0,0,0,0.0
148,2020-09-21 12:15:00+00:00,2020-09-28 12:00:00+00:00,2,0,2,-0.03440633999999987
149,2020-09-28 12:15:00+00:00,2020-10-05 12:00:00+00:00,0,0,0,0.0
150,2020-10-05 12:15:00+00:00,2020-10-12 12:00:00+00:00,0,0,0,0.0
151,2020-10-12 12:15:00+00:00,2020-10-19 12:00:00+00:00,1,1,0,0.017656840000000007
152,2020-10-19 12:15:00+00:00,2020-10-26 12:00:00+00:00,0,0,0,0.0
153,2020-10-26 12:15:00+00:00,2020-11-02 12:00:00+00:00,0,0,0,0.0
154,2020-11-02 12:15:00+00:00,2020-11-09 12:00:00+00:00,0,0,0,0.0
155,2020-11-09 12:15:00+00:00,2020-11-16 12:00:00+00:00,0,0,0,0.0
156,2020-11-16 12:15:00+00:00,2020-11-23 12:00:00+00:00,0,0,0,0.0
157,2020-11-23 12:15:00+00:00,2020-11-30 12:00:00+00:00,0,0,0,0.0
158,2020-11-30 12:15:00+00:00,2020-12-07 12:00:00+00:00,1,1,0,0.027479079999999878
159,2020-12-07 12:15:00+00:00,2020-12-14 12:00:00+00:00,1,0,1,-0.014983840000000082
160,2020-12-14 12:15:00+00:00,2020-12-21 12:00:00+00:00,0,0,0,0.0
161,2020-12-21 12:15:00+00:00,2020-12-28 12:00:00+00:00,0,0,0,0.0
162,2020-12-28 12:15:00+00:00,2021-01-04 12:00:00+00:00,0,0,0,0.0
163,2021-01-04 12:15:00+00:00,2021-01-11 12:00:00+00:00,0,0,0,0.0
164,2021-01-11 12:15:00+00:00,2021-01-18 12:00:00+00:00,0,0,0,0.0
165,2021-01-18 12:15:00+00:00,2021-01-25 12:00:00+00:00,0,0,0,0.0
166,2021-01-25 12:15:00+00:00,2021-02-01 12:00:00+00:00,0,0,0,0.0
167,2021-02-01 12:15:00+00:00,2021-02-08 12:00:00+00:00,0,0,0,0.0
168,2021-02-08 12:15:00+00:00,2021-02-15 12:00:00+00:00,0,0,0,0.0
169,2021-02-15 12:15:00+00:00,2021-02-22 12:00:00+00:00,0,0,0,0.0
170,2021-02-22 12:15:00+00:00,2021-03-01 12:00:00+00:00,1,1,0,0.07644383999999993
171,2021-03-01 12:15:00+00:00,2021-03-08 12:00:00+00:00,1,0,1,-0.01995528000000002
172,2021-03-08 12:15:00+00:00,2021-03-15 12:00:00+00:00,0,0,0,0.0
173,2021-03-15 12:15:00+00:00,2021-03-22 12:00:00+00:00,0,0,0,0.0
174,2021-03-22 12:15:00+00:00,2021-03-29 12:00:00+00:00,1,0,1,-0.017702459999999975
175,2021-03-29 12:15:00+00:00,2021-04-05 12:00:00+00:00,0,0,0,0.0
176,2021-04-05 12:15:00+00:00,2021-04-12 12:00:00+00:00,0,0,0,0.0
177,2021-04-12 12:15:00+00:00,2021-04-19 12:00:00+00:00,0,0,0,0.0
178,2021-04-19 12:15:00+00:00,2021-04-26 12:00:00+00:00,0,0,0,0.0
179,2021-04-26 12:15:00+00:00,2021-05-03 12:00:00+00:00,0,0,0,0.0
180,2021-05-03 12:15:00+00:00,2021-05-10 12:00:00+00:00,0,0,0,0.0
181,2021-05-10 12:15:00+00:00,2021-05-17 12:00:00+00:00,0,0,0,0.0
182,2021-05-17 12:15:00+00:00,2021-05-24 12:00:00+00:00,0,0,0,0.0
183,2021-05-24 12:15:00+00:00,2021-05-31 12:00:00+00:00,0,0,0,0.0
184,2021-05-31 12:15:00+00:00,2021-06-07 12:00:00+00:00,0,0,0,0.0
185,2021-06-07 12:15:00+00:00,2021-06-14 12:00:00+00:00,0,0,0,0.0
186,2021-06-14 12:15:00+00:00,2021-06-21 12:00:00+00:00,0,0,0,0.0
187,2021-06-21 12:15:00+00:00,2021-06-28 12:00:00+00:00,0,0,0,0.0
188,2021-06-28 12:15:00+00:00,2021-07-05 12:00:00+00:00,0,0,0,0.0
189,2021-07-05 12:15:00+00:00,2021-07-12 12:00:00+00:00,0,0,0,0.0
190,2021-07-12 12:15:00+00:00,2021-07-19 12:00:00+00:00,0,0,0,0.0
191,2021-07-19 12:15:00+00:00,2021-07-26 12:00:00+00:00,1,0,1,-0.018643560000000114
192,2021-07-26 12:15:00+00:00,2021-08-02 12:00:00+00:00,0,0,0,0.0
193,2021-08-02 12:15:00+00:00,2021-08-09 12:00:00+00:00,0,0,0,0.0
194,2021-08-09 12:15:00+00:00,2021-08-16 12:00:00+00:00,0,0,0,0.0
195,2021-08-16 12:15:00+00:00,2021-08-23 12:00:00+00:00,0,0,0,0.0
196,2021-08-23 12:15:00+00:00,2021-08-30 12:00:00+00:00,0,0,0,0.0
197,2021-08-30 12:15:00+00:00,2021-09-06 12:00:00+00:00,0,0,0,0.0
198,2021-09-06 12:15:00+00:00,2021-09-13 12:00:00+00:00,0,0,0,0.0
199,2021-09-13 12:15:00+00:00,2021-09-20 12:00:00+00:00,0,0,0,0.0
200,2021-09-20 12:15:00+00:00,2021-09-27 12:00:00+00:00,0,0,0,0.0
201,2021-09-27 12:15:00+00:00,2021-10-04 12:00:00+00:00,1,0,1,-0.01907975999999989
202,2021-10-04 12:15:00+00:00,2021-10-11 12:00:00+00:00,0,0,0,0.0
203,2021-10-11 12:15:00+00:00,2021-10-18 12:00:00+00:00,0,0,0,0.0
204,2021-10-18 12:15:00+00:00,2021-10-25 12:00:00+00:00,0,0,0,0.0
205,2021-10-25 12:15:00+00:00,2021-11-01 12:00:00+00:00,0,0,0,0.0
206,2021-11-01 12:15:00+00:00,2021-11-08 12:00:00+00:00,1,0,1,-0.015291840000000056
207,2021-11-08 12:15:00+00:00,2021-11-15 12:00:00+00:00,0,0,0,0.0
208,2021-11-15 12:15:00+00:00,2021-11-22 12:00:00+00:00,0,0,0,0.0
209,2021-11-22 12:15:00+00:00,2021-11-29 12:00:00+00:00,1,0,1,-0.018750080000000113
210,2021-11-29 12:15:00+00:00,2021-12-06 12:00:00+00:00,1,0,1,-0.01698124000000012
211,2021-12-06 12:15:00+00:00,2021-12-13 12:00:00+00:00,0,0,0,0.0
212,2021-12-13 12:15:00+00:00,2021-12-20 12:00:00+00:00,0,0,0,0.0
213,2021-12-20 12:15:00+00:00,2021-12-27 12:00:00+00:00,0,0,0,0.0
214,2021-12-27 12:15:00+00:00,2022-01-03 12:00:00+00:00,0,0,0,0.0
215,2022-01-03 12:15:00+00:00,2022-01-10 12:00:00+00:00,0,0,0,0.0
216,2022-01-10 12:15:00+00:00,2022-01-17 12:00:00+00:00,0,0,0,0.0
217,2022-01-17 12:15:00+00:00,2022-01-24 12:00:00+00:00,0,0,0,0.0
218,2022-01-24 12:15:00+00:00,2022-01-31 12:00:00+00:00,0,0,0,0.0
219,2022-01-31 12:15:00+00:00,2022-02-07 12:00:00+00:00,0,0,0,0.0
220,2022-02-07 12:15:00+00:00,2022-02-14 12:00:00+00:00,0,0,0,0.0
221,2022-02-14 12:15:00+00:00,2022-02-21 12:00:00+00:00,0,0,0,0.0
222,2022-02-21 12:15:00+00:00,2022-02-28 12:00:00+00:00,1,1,0,0.0019584400000000057
223,2022-02-28 12:15:00+00:00,2022-03-07 12:00:00+00:00,1,0,1,-0.018985219999999803
224,2022-03-07 12:15:00+00:00,2022-03-14 12:00:00+00:00,2,0,2,-0.03255264000000002
225,2022-03-14 12:15:00+00:00,2022-03-21 12:00:00+00:00,0,0,0,0.0
226,2022-03-21 12:15:00+00:00,2022-03-28 12:00:00+00:00,0,0,0,0.0
227,2022-03-28 12:15:00+00:00,2022-04-04 12:00:00+00:00,0,0,0,0.0
228,2022-04-04 12:15:00+00:00,2022-04-11 12:00:00+00:00,0,0,0,0.0
229,2022-04-11 12:15:00+00:00,2022-04-18 12:00:00+00:00,0,0,0,0.0
230,2022-04-18 12:15:00+00:00,2022-04-25 12:00:00+00:00,2,0,2,-0.035482440000000115
231,2022-04-25 12:15:00+00:00,2022-05-02 12:00:00+00:00,2,0,2,-0.036418340000000105
232,2022-05-02 12:15:00+00:00,2022-05-09 12:00:00+00:00,1,0,1,-0.016203219999999963
233,2022-05-09 12:15:00+00:00,2022-05-16 12:00:00+00:00,1,0,1,-0.017338900000000157
234,2022-05-16 12:15:00+00:00,2022-05-23 12:00:00+00:00,2,1,1,0.009930819999999896
235,2022-05-23 12:15:00+00:00,2022-05-30 12:00:00+00:00,1,0,1,-0.01757157999999992
236,2022-05-30 12:15:00+00:00,2022-06-06 12:00:00+00:00,0,0,0,0.0
237,2022-06-06 12:15:00+00:00,2022-06-13 12:00:00+00:00,1,1,0,0.03617261999999999
238,2022-06-13 12:15:00+00:00,2022-06-20 12:00:00+00:00,2,1,1,0.01421251999999984
239,2022-06-20 12:15:00+00:00,2022-06-27 12:00:00+00:00,0,0,0,0.0
240,2022-06-27 12:15:00+00:00,2022-07-04 12:00:00+00:00,0,0,0,0.0
241,2022-07-04 12:15:00+00:00,2022-07-11 12:00:00+00:00,0,0,0,0.0
242,2022-07-11 12:15:00+00:00,2022-07-18 12:00:00+00:00,1,1,0,0.033795679999999884
243,2022-07-18 12:15:00+00:00,2022-07-25 12:00:00+00:00,1,0,1,-0.015654059999999914
244,2022-07-25 12:15:00+00:00,2022-08-01 12:00:00+00:00,1,0,1,-0.01939541999999994
245,2022-08-01 12:15:00+00:00,2022-08-08 12:00:00+00:00,1,0,1,-0.018549959999999976
246,2022-08-08 12:15:00+00:00,2022-08-15 12:00:00+00:00,1,0,1,-0.0025450399999998874
247,2022-08-15 12:15:00+00:00,2022-08-22 12:00:00+00:00,1,1,0,0.039030720000000074
248,2022-08-22 12:15:00+00:00,2022-08-29 12:00:00+00:00,1,0,1,-0.016188300000000044
249,2022-08-29 12:15:00+00:00,2022-09-05 12:00:00+00:00,2,0,2,-0.030311899999999947
250,2022-09-05 12:15:00+00:00,2022-09-12 12:00:00+00:00,0,0,0,0.0
251,2022-09-12 12:15:00+00:00,2022-09-19 12:00:00+00:00,2,1,1,-0.013336560000000053
252,2022-09-19 12:15:00+00:00,2022-09-26 12:00:00+00:00,7,1,6,-0.10751477999999992
253,2022-09-26 12:15:00+00:00,2022-10-03 12:00:00+00:00,6,2,4,-0.024702360000000256
254,2022-10-03 12:15:00+00:00,2022-10-10 12:00:00+00:00,5,1,4,-0.03938523999999988
255,2022-10-10 12:15:00+00:00,2022-10-17 12:00:00+00:00,3,1,2,-0.004022560000000119
256,2022-10-17 12:15:00+00:00,2022-10-24 12:00:00+00:00,3,1,2,-0.029249259999999833
257,2022-10-24 12:15:00+00:00,2022-10-31 12:00:00+00:00,2,0,2,-0.03180552000000003
258,2022-10-31 12:15:00+00:00,2022-11-07 12:00:00+00:00,1,1,0,0.02432506000000001
259,2022-11-07 12:15:00+00:00,2022-11-14 12:00:00+00:00,5,2,3,-0.008142260000000068
260,2022-11-14 12:15:00+00:00,2022-11-21 12:00:00+00:00,1,0,1,-0.023703499999999877
261,2022-11-21 12:15:00+00:00,2022-11-25 23:30:00+00:00,2,0,2,-0.03252014000000014
